muestra;3DL3;2DS2;2DL2;2DL3;2DL5B;2DS3;2DP1;2DL1;3DP1;2DL4;3DL1;3DS1;2DL5A;2DS5;2DS1;2DS4;3DL2
AMAI-KIR_S4;*0010104/*02702;;*0030106;*0020101/*00501;;;*0030102/*007;*01202/*0020141;*0060101/*0280102;*0080107/*0080101;*0010116/*0010103;;*0210102/*0330102;;*0020119/*0020132;*0030102/*0030103;*0010105/*0010109
AMALA-KIR_S10;*00802/*0040201;*0010104;*0030103;*0010108;*00601;;*0020119;*0030298;*0030202/*0030210;*0050101/*0010201;*0150205;*0130114/*0130116;*00103/*0010103;*0020101/*036;*0020119;*0010109/*010;*0020106/*0070108
BOB-KIR_S21;*0130201/*0030106;*0010106;*0030103;*0020101;*0070101/*00601;;*0030102;*0020130/*0020141;*01601;*0050102/*0010201;*0020105/*0020104;*0130116/*126;*0010103;*0020108/*00206;*0020119;*0010109/*0010101;*0020106/*0020111
BRIP-KIR_S2;*0090105/*0030106;*0010105;*0010107/*0030103;*0010109/*0010113;*0020108;*0020107/*0010313;*0020109/*0020102;*0030298/*0040118;*0030102/*0030202;*0010305/*0010309;*0080102;*0130116/*126;*0050103/*0050104;;*0020119;*0030104/*010;*0070102/*127
CALOGERO-KIR_S24;*0020701/*01002;;;*00110/*0010109;;;*0020123/*0020124;*0030298;*0100102/*048;*0080204/*0080107;*0010116/*0040108;;;;;*0060101/*0060102;*0030102/*0050101
COX-KIR_S30;*0010201/*10701;;;*0020101;;;*0030101/*0030102;*0020130/*0020101;*00501/*0060101;*0050101/*0110101;*0050104/*0050110;*055/*0130114;*0010101/*0010103;*0020103;*0020119;*010;*0070102/*0010302
DEU-KIR_S6;*0030106/*0130202;*0010124;*0010107/*0030103;*0020101;;;*0030102;*0020130/*0020141;*0060101;*0110103/*0080101;*0010108/*0010111;;*0210102;;*0020119;*010/*0030102;*01001/*132
DKB-KIR_S20;*0060102/*0010104;;;*0020101;;;*0030103/*0030102;*0020130/*0020141;*0150101;*0010304/*0010201;*0200102/*0020105;;;;*0020119;*0010106/*0010109;*00903/*0020109
HID-KIR_S18;*0020202/*01501;;;*0010108/*0010109;;;*0020119/*0020113;*0030298;*0100102/*0030202;*0010201/*0010202;*0150209/*0150205;*136;*0210102/*0330102;;*0020119;*0010109/*0010102;*0020106/*0020114
HO301-KIR_S17;*0030106/*0140205;*011/*0010106;*0030103/*0010107;*0020101/*010;*0020108;*0010313/*0010301;*0010204/*0010203;*0040904/*041;*0030101;*0010201;*0020105/*0020104;;*0210102;;*0020119;*0010109/*0010101;*0020107/*0020111
HOM-2-KIR_S7;*0010104/*0090105;;*0030106;*0010111/*0020101;;;*0030108/*0020111;*0030298/*0020141;*0060101/*0100102;*0080204/*0080101;*0040108/*0010108;;*0210102;;*0020119;*0060102/*0060101;*0050101/*0010107
HOR-KIR_S5;*04801/*04802;;;*0020101;*00601;;*0030102/*0030103;*0020130;*00604/*01502;*0050101/*0050105;*087;*0130116/*126;*0010103;*0020108/*0020132;*0020119;*010;*0070108/*0070109
JHAF-KIR_S8;*0010102/*0090101;;;*0010114/*0010112;;;*0020302/*0020113;*0030298;*0030207/*0030202;*0110101/*0110102;*0050108;;;;;*010;*01001
JVM-KIR_S16;*00801/*0070102;*0010104/*0010101;*0030103;*0010111;;;*0020111;*0030298;*0030202/*0030210;*0010305/*0010310;*0080102/*0010110;;;;;*0030104/*0030102;*0010101/*0090101
KAS011-KIR_S31;;;;;;;;;;;;;*0010105;;;;
KAS116-KIR_S23;*00602/*0020201;;;*0010110/*0010109;;;*0020120/*0020113;*0030298;*0030202/*0030210;*0110101/*0110102;*0050111/*0050104;;*0210102;;*0020119;*010;*01001/*0010302
LBUF-KIR_S15;;*0010106;*0030103;*0010112/*0010115;;;*0020301;;;;*0020104/*0050107;;;;;*010/*0010101;*0010304
LUY-KIR_S11;*0130201/*0410103;;;*00501/*0010110;;;*0160102/*0160103;*0030298/*1050103;*0140103/*0030206;*0080101/*0110101;*0050107/*0040106;;*0210102;;*0020119;*010/*0060102;*0050101/*0010301
MOU-KIR_S1;*0020701/*00801;;*0030106;*0010111;;;*0020111/*0020126;*0030298/*0030228;*0030202/*0030210;*0080107/*0080101;*0040109/*0010108;;*0210102;;*0020119;*0060102/*0060101;*0030102/*127
OLGA-KIR_S9;*00902;;;*0010109/*0010113;;;*0020119/*0020118;*0030298;*0030212/*0100102;*0050101/*0110103;*0050115/*0050103;*0130114/*0130127;*00103;*0020132/*0020111;*0020119;*010;*01001/*0070108
PE117-KIR_S14;*01002/*0010102;;;*0020101;;;*0030102/*0020115;*0020141/*0030298;*0060101/*0030212;*0080204/*0050101;*0040108/*0040106;*0130114;*00103;*0020132/*0020111;*0020119;*0060102/*010;*0050102/*0070109
PF04015-KIR_S19;*0140205;*0010112;*0010107;;;;;;*0090101/*080;*0110103/*0110101;*0050107/*0050110;;*0210102;;*0020119;*010;*0010302/*0010304
RSH-KIR_S29;*0030106/*00801;*0010104;*0010104;*0010109/*0010113;*004;;*0090102/*0020102;*0030298/*01201;*0030401/*0030202;*0010307/*0110101;*0170102/*0050102;;*0210102;*0060101;*0020119;*010/*0010108;*023/*01001
SAVC-KIR_S13;*0020202/*00801;;;*0010103;;;*0080102/*0020123;*0030298/*0032003;*0030202/*0030210;*0080204/*0010201;*0040109/*0150208;;*0210102;;*0020119;*0010109/*0060101;*0020106/*0030102
SPO010-KIR_S3;*0020602;;;*0010112/*0010115;;;*0020301;*0030298/*0370101;*0030207;*0110103/*0110101;*0050115/*0050103;;*0210102/*0330102;;*0020119;*010;*0010302
T7526-KIR_S12;*0090105/*0090101;;;*0010109/*0010113;;;*0020120/*0020113;*0030298;*0030202/*0030210;*0010201/*0050101;*0150205;*0130114/*0130116;*0010103;*036/*0020108;*0020119;*0010109/*010;*0020106/*0070108
VAVY-KIR_S28;*01701/*0020605;;;*0020101/*0010112;;;*0020303/*0030106;*0030298/*0020125;*0060101/*0030207;*0110103/*0110101;*0050110/*0050104;;*0210102/*0330102;;*0020119;*010;*0010302/*0010301
WDV-KIR_S32;;*0010701;*0030103;*0010110;*0020108;*0020107;*0020102/*0020109;;*0030217;;;;*0050101/*0050105;;*0020119;;*0070103
WT51-KIR_S27;*036/*10802;*0010105;*0010107/*0030103;*0020102/*0020101;*0020108/*0020103;*0010313/*0010301;*0040102/*0010203;*041/*0020130;*0030102/*0060101;*0050102/*0050101;;*04902N/*0130119;*0010103/*0010101;*0020131/*0020108;*0020119;*010;*0070102/*0070109
YAR-KIR_S22;*0010202/*0090101;;;*0020101/*0010109;;;*0030106/*0020102;*0030298/*0020130;*0060101/*0030219;*0010201/*0110101;*0020105/*0050110;;*0210102;;*0020119;*010/*0010109;*0020109/*0010302
